0.0004	1412.41	758.563
0.0008	2.71489	0.778304
0.0012	2.81434	0.801347
0.0016	2.73039	0.767128
0.002	2.65817	0.742769
0.0024	2.57826	0.719459
0.0028	2.4921	0.696362
0.0032	2.40247	0.67362
0.0036	2.31157	0.650337
0.004	2.22129	0.625663
0.0044	2.13253	0.603098
0.0048	2.04688	0.5776
0.0052	1.96444	0.554223
0.0056	1.88524	0.529581
0.006	1.80977	0.507146
0.0064	1.73799	0.488067
0.0068	1.6692	0.468485
0.0072	1.60398	0.449639
0.0076	1.54125	0.432915
0.008	1.48229	0.420227
0.0084	1.42653	0.405529
0.0088	1.37282	0.394019
0.0092	1.32331	0.385312
0.0096	1.27621	0.374901
0.01	1.23198	0.365346
0.0104	1.1908	0.358782
0.0108	1.15259	0.353088
0.0112	1.1162	0.345375
0.0116	1.08195	0.340318
0.012	1.05081	0.336591
0.0124	1.02189	0.333492
0.0128	0.993771	0.328587
0.0132	0.968329	0.326231
0.0136	0.944598	0.3246
0.014	0.92304	0.322372
0.0144	0.901701	0.320212
0.0148	0.88258	0.31974
0.0152	0.864998	0.31899
0.0156	0.847877	0.318068
0.016	0.83188	0.318259
0.0164	0.817605	0.319864
0.0168	0.804103	0.320333
0.0172	0.790731	0.320958
0.0176	0.778651	0.322707
0.018	0.767583	0.324159
0.0184	0.756881	0.32464
0.0188	0.747991	0.326831
0.0192	0.738603	0.329072
0.0196	0.730678	0.329434
0.02	0.722899	0.330866
0.0204	0.714419	0.331721
0.0208	0.709141	0.33688
0.0212	0.703442	0.337043
0.0216	0.695871	0.337733
0.022	0.692295	0.337948
0.0224	0.684724	0.3426
0.0228	0.68299	0.344911
0.0232	0.675734	0.345521
0.0236	0.674262	0.348384
0.024	0.668091	0.35138
0.0244	0.667627	0.352457
0.0248	0.660925	0.354138
0.0252	0.659696	0.357156
0.0256	0.65678	0.359291
0.026	0.653357	0.3617
0.0264	0.650176	0.364927
0.0268	0.650725	0.365437
0.0272	0.64654	0.369398
0.0276	0.646158	0.370573
0.028	0.642961	0.373761
0.0284	0.642609	0.375179
0.0288	0.640975	0.377186
0.0292	0.638794	0.380892
0.0296	0.638146	0.381957
0.03	0.636969	0.385883
0.0304	0.635179	0.388477
0.0308	0.635087	0.389819
0.0312	0.634958	0.39215
0.0316	0.632349	0.395948
0.032	0.632562	0.397265
0.0324	0.632883	0.398615
0.0328	0.632316	0.40224
0.0332	0.631775	0.403972
0.0336	0.629044	0.409432
0.034	0.63103	0.40898
0.0344	0.630542	0.412431
0.0348	0.629216	0.414169
0.0352	0.629355	0.41931
0.0356	0.629032	0.417386
0.036	0.629777	0.42261
0.0364	0.628644	0.426128
0.0368	0.628223	0.428332
0.0372	0.62841	0.42878
0.0376	0.629334	0.433217
0.038	0.628799	0.434304
0.0384	0.628198	0.436029
0.0388	0.628688	0.439239
0.0392	0.628937	0.441268
0.0396	0.629051	0.444288
0.04	0.629069	0.447119
0.0404	0.628743	0.448955
0.0408	0.629557	0.452615
0.0412	0.629064	0.454114
0.0416	0.628996	0.455703
0.042	0.630866	0.459075
0.0424	0.628041	0.462959
0.0428	0.630325	0.463398
0.0432	0.630878	0.465166
0.0436	0.629371	0.466995
0.044	0.633661	0.470755
0.0444	0.630391	0.473661
0.0448	0.631662	0.473162
0.0452	0.629977	0.475687
0.0456	0.635033	0.481627
0.046	0.632935	0.480854
0.0464	0.633756	0.483517
0.0468	0.630791	0.485517
0.0472	0.633789	0.488703
0.0476	0.634158	0.489642
0.048	0.634999	0.492159
0.0484	0.635735	0.493055
0.0488	0.635595	0.49977
0.0492	0.635131	0.497759
0.0496	0.638307	0.502412
0.05	0.636577	0.502004
0.0504	0.636308	0.503443
0.0508	0.639154	0.510105
0.0512	0.637843	0.51006
0.0516	0.638313	0.509128
0.052	0.638365	0.511385
0.0524	0.640996	0.516537
0.0528	0.640486	0.517738
0.0532	0.640593	0.519064
0.0536	0.641417	0.52125
0.054	0.641516	0.523256
0.0544	0.643891	0.527403
0.0548	0.643305	0.528454
0.0552	0.643135	0.52939
0.0556	0.643685	0.531837
0.056	0.645108	0.534763
0.0564	0.645772	0.536422
0.0568	0.645776	0.536874
0.0572	0.646666	0.539843
0.0576	0.647054	0.542936
0.058	0.647177	0.542811
0.0584	0.64701	0.544308
0.0588	0.650726	0.549178
0.0592	0.649546	0.549636
0.0596	0.648746	0.550233
0.06	0.649353	0.551861
0.0604	0.64901	0.55326
0.0608	0.653085	0.558766
0.0612	0.652284	0.559681
0.0616	0.651778	0.560427
0.062	0.652349	0.56166
0.0624	0.651976	0.562914
0.0628	0.656652	0.568521
0.0632	0.652605	0.566931
0.0636	0.655096	0.569199
0.064	0.654414	0.570328
0.0644	0.655685	0.57563
0.0648	0.65756	0.57467
0.0652	0.65669	0.576795
0.0656	0.657303	0.578639
0.066	0.656985	0.579305
0.0664	0.657876	0.583373
0.0668	0.65913	0.583634
0.0672	0.659847	0.584428
0.0676	0.659269	0.587291
0.068	0.660501	0.588511
0.0684	0.658864	0.591583
0.0688	0.662483	0.591226
0.0692	0.660527	0.59377
0.0696	0.661798	0.594685
0.07	0.661241	0.595925
0.0704	0.662321	0.598429
0.0708	0.661869	0.599553
0.0712	0.666257	0.6043
0.0716	0.665286	0.605185
0.072	0.664335	0.60585
0.0724	0.66367	0.606523
0.0728	0.66467	0.607461
0.0732	0.664166	0.608508
0.0736	0.668596	0.613558
0.074	0.667656	0.614321
0.0744	0.666805	0.615013
0.0748	0.66639	0.615831
0.0752	0.667146	0.617339
0.0756	0.666701	0.618399
